,uniprot_id,ev_association_score,tau_scores
315,O15049,1.413890679,0.051329404
316,Q9BSU3,1.255805462,0.035714286
317,Q6XQN6,1.059063036,0.220940803
318,Q6ZVX7,0.732186603,0.035714286
319,Q9UHB4,0.789986208,0.0619477
320,P51955,1.206914275,0.022426104
321,Q16621,0.751843216,0.09594259
322,O00221,1.763129271,0.060876534
323,Q9NYS0,0.859099315,0.035714286
324,P35228,0.9148444,0.147866985
325,Q9UNW9,1.05795655,0.182493599
326,Q14994,0.085291117,0.035714286
327,Q86VF7,1.054416051,0.149264755
328,Q9BXI3,0.843595935,0.102557313
329,P78549,0.617397192,0.046223143
330,Q9Y5A7,0.976665817,0.128844489
331,Q96CM4,1.198779786,0.035714286
332,Q5VST9,1.716146204,0.035714286
333,O14841,0.942155808,0.079347828
334,Q7L8S5,0.931868764,0.035714286
335,Q5JUK9,2.093443566,0.035714286
336,A6NDB9,1.067577822,0.035714286
337,Q53GL7,0.263051633,0.035714286
338,Q8IV76,1.087862532,0.035714286
339,O43316,0.993841651,0.035714286
340,Q15366,1.038257483,0.232989925
341,Q15154,1.096572004,0.237129007
342,P12004,1.178084899,0.189240372
343,Q13371,1.26720677,0.221593616
344,Q8N4E4,0.94128507,0.035714286
345,Q6NSJ2,8.277346427,0.035714286
346,Q8TCT1,1.084308444,0.24178857
347,O14813,0.990452988,0.035714286
348,Q7Z3Z3,1.478878977,0.035714286
349,P30613,1.351531825,0.035714286
350,Q86XP0,1.250848584,0.035714286
351,Q96S99,1.305676655,0.080869101
352,Q96PX9,0.737556324,0.035714286
353,Q496M5,1.170224318,0.061610702
354,Q96PV4,8.850374119,0.035714286
355,Q8WVV4,0.873644915,0.044427514
356,Q3SYA9,2.223153315,0.035714286
357,Q6S8J7,1.048368277,0.035714286
358,B2RU33,1.167371967,0.035714286
359,Q9BYX7,1.438756572,0.035714286
360,Q9NXH3,1.205488943,0.16571651
361,Q86WC6,0.720886356,0.035714286
362,Q7Z5V6,1.472494725,0.229896989
363,P78395,0.819907159,0.035714286
364,A6NGE7,1.10641707,0.035714286
365,Q9UGI9,1.824713676,0.035714286
366,P41219,0.433086386,0.035714286
367,Q8IV56,1.058812777,0.165922175
368,Q9BU68,1.281950607,0.048766791
369,P86481,1.048194575,0.035714286
370,A6NEV1,1.01818198,0.035714286
371,A5LHX3,1.168600259,0.035714286
372,Q16401,0.793660095,0.202287388
373,O00233,0.815996203,0.14855697
374,Q5JS54,1.071819088,0.035714286
375,O43586,1.194196073,0.065723255
376,Q4JDL3,0.743454515,0.035714286
377,Q8WXC3,0.867395237,0.035714286
378,Q6K0P9,0.910190155,0.173262113
379,Q9H0J4,1.038690223,0.089152546
380,Q2KHR3,0.687113623,0.240933031
381,A4D1S5,0.485171272,0.035714286
382,Q9H5N1,0.618443176,0.048389734
383,P60763,0.831840107,0.035714286
384,Q96JH8,0.887639149,0.132103585
385,P11234,1.402447845,0.188803241
386,Q8IZ41,1.287092272,0.035714286
387,Q02833,1.004279386,0.080857948
388,Q9Y2V3,0.07152594,0.035714286
389,Q96I25,0.98913663,0.230439149
390,P82980,0.935426334,0.035714286
391,P18754,0.949837034,0.225428216
392,P51606,1.250345869,0.035714286
393,P35249,0.98046216,0.035714286
394,Q8TCX5,0.694936044,0.035714286
395,P57078,1.056949917,0.035714286
396,Q9BXT8,0.842169909,0.129340867
397,Q9H0X6,1.589906968,0.094081129
398,Q9H0F5,1.474460782,0.035714286
399,P56715,0.100255025,0.035714286
400,Q9H9Y2,1.056876364,0.117923725
401,Q9NSQ0,1.066578586,0.182721486
402,P33764,1.144539717,0.213126679
403,P33763,0.978052148,0.035714286
404,P29377,0.764309885,0.035714286
405,P10523,0.971248481,0.035714286
406,Q9NXZ1,1.745015537,0.035714286
407,Q9UJQ4,1.110648196,0.043115785
408,Q8IZD0,1.198174348,0.035714286
409,O95171,1.000599132,0.035714286
410,Q14160,1.091765714,0.242947659
411,P36952,1.367625436,0.035714286
412,Q9C0A6,1.198745211,0.248482396
413,O60880,1.411513004,0.008539429
414,A6NKC9,0.922837369,0.035714286
415,Q7L8J4,1.040823609,0.211820115
416,A4FU49,0.923293474,0.229090386
417,Q9Y566,1.076023614,0.237016134
418,Q96IW2,0.86439456,0.035714286
419,O15266,0.916298938,0.035714286
420,O60902,1.017820437,0.035714286
421,P81133,1.404607439,0.035714286
422,Q8N6T7,1.05377981,0.166603535
423,Q96BD8,1.223447033,0.117684363
424,P84550,0.712377073,0.035714286
425,Q9H6Q3,1.200535904,0.035714286
426,Q9H2G2,0.551122254,0.207619228
427,P49901,1.144030365,0.035714286
428,A6NMZ2,0.936085313,0.035714286
429,A6NEL2,1.16536145,0.087987786
430,O95416,0.972200377,0.035714286
431,O94993,1.105659858,0.035714286
432,Q8TDD2,1.161317633,0.099082048
433,Q9NS25,1.009430014,0.035714286
434,Q5MJ10,1.632302152,0.035714286
435,Q7Z5L4,1.14859709,0.07144955
436,Q7Z572,1.512367597,0.035714286
437,Q8IUW3,0.478412497,0.035714286
438,Q8NHX4,1.247302889,0.035714286
439,Q76KD6,0.66482267,0.035714286
440,Q9Y4P9,0.740872031,0.035714286
441,Q8NA61,1.028757991,0.035714286
442,P22528,1.600334609,0.035714286
443,Q9UBC9,0.789779065,0.035714286
444,Q9NRC6,0.629453955,0.035714286
445,Q9BXG8,1.109227841,0.035714286
446,O60225,1.529596537,0.035714286
447,Q9UGK3,2.324213815,0.060993133
448,Q7Z7C7,0.901733841,0.050530753
449,Q06520,1.038032311,0.035714286
450,Q4FZB7,0.616970593,0.244190158
451,A8MT33,0.987075549,0.035714286
452,Q8IZU3,1.227443474,0.035714286
453,Q8IYJ3,8.29318138,0.035714286
454,Q2M2D7,1.44955149,0.035714286
455,Q6SJ96,1.334531016,0.035714286
456,Q9Y458,0.958950517,0.035714286
457,Q5QJ38,1.480624255,0.035714286
458,P56279,0.982898969,0.035714286
459,O95988,0.969994305,0.035714286
460,Q8WWU5,1.077161504,0.13201918
461,Q7Z6L1,1.059548293,0.122373948
462,Q8WW24,1.09799211,0.035714286
463,Q9Y4R8,0.972294504,0.104635006
464,Q8IYF3,1.002423617,0.035714286
465,Q9BXU3,1.243481208,0.035714286
466,O43247,1.475965222,0.035714286
467,Q00059,0.969737359,0.243691361
468,P05549,0.945250113,0.035714286
469,Q5H9I0,0.738891554,0.035714286
470,O43548,1.117031642,0.101524613
471,P07101,0.979359446,0.035714286
472,P0DJG4,0.917203267,0.035714286
473,O95049,1.312448042,0.035714286
474,P04183,1.123537324,0.209544011
475,Q9H808,0.341629118,0.035714286
476,P31314,1.104986322,0.035714286
477,Q9NZQ9,1.178077146,0.035714286
478,P19429,0.817328483,0.035714286
479,Q8IZW8,0.959770522,0.035714286
480,O15350,1.544130421,0.035714286
481,Q96J77,0.981766613,0.035714286
482,Q4KMQ1,0.550562928,0.157434893
483,O14545,0.855589524,0.218632667
484,Q14142,1.59639496,0.035714286
485,Q9Y577,1.088748246,0.2271308
486,Q9BZY9,0.92519293,0.035714286
487,Q9HCM9,0.396788593,0.035714286
488,Q6P9F5,0.91173434,0.035714286
489,Q9BYV2,1.44457032,0.035714286
490,Q495X7,1.036513519,0.035714286
491,Q3SY00,0.79580458,0.035714286
492,Q9Y5U2,0.189134875,0.056430357
493,Q8NEE8,0.915576043,0.023234286
494,A2A3L6,0.950487595,0.035714286
